Vistex Global ESG Head,[]
Hyundai MOBIS Global GCC Head,"['https://in.linkedin.com/company/hyundaimobismiddleeast?trk=public_profile_topcard-current-company', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742']"
Hyundai MOBIS Global GIC Head,"['https://in.linkedin.com/in/muskan-shrivastava01', 'https://in.linkedin.com/in/bhaskar-p-86a53113b', 'https://in.linkedin.com/in/ashish-semwal-73b9452a', 'https://in.linkedin.com/in/bijoy-mukherjee-5a842554', 'https://in.linkedin.com/in/rahuldeep09']"
Hyundai MOBIS Global Global Development Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/company/mobis-india-hyundai-motor', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sjeelanibasha']"
Hyundai MOBIS Global Country Head,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/in/gaurav-shankar-a0734621']"
Hyundai MOBIS Global Site Head,"['https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/company/hyundaimobisin', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/chetan-prakash-3b032977']"
Hyundai MOBIS Global Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/sarvesh-shukla-bb82ba18', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/edward-cho-ba5228130']"
Hyundai MOBIS Global CTO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/shenthil-rajkumar-673b1b57', 'https://in.linkedin.com/in/s-r-murralidharan', 'https://in.linkedin.com/in/sreedaran-p?trk=public_profile_browsemap_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/ik-hwan-kim-4a89257a']"
Hyundai MOBIS Global CIO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/vinayagamoorthy-perumal-628351178']"
Hyundai MOBIS Global HR Head,"['https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/prem-sai-00ab2322', 'https://in.linkedin.com/in/devender-singh-4628752b']"
Hyundai MOBIS Global Chief Marketing Officer,"['https://in.linkedin.com/in/mishail-gupta-502051106', 'https://in.linkedin.com/in/prabhas-singh-93a97571', 'https://in.linkedin.com/in/srinivas-panda-75827625', 'https://in.linkedin.com/company/hyundai-mobis']"
Hyundai MOBIS Global Talent Acquistion Head,"['https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/devender-singh-4628752b', 'https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a']"
Hyundai MOBIS Global Offshoring Head,"['https://in.linkedin.com/in/siva-shyam-kumar-8b8b1a58', 'https://in.linkedin.com/in/dr-gururaj-arvind-gumaste-3b08a544?trk=public_post_main-feed-card-text', 'https://in.linkedin.com/in/karthick-raja-3ba262188', 'https://in.linkedin.com/in/madhusudhan-yenuguthati-8812b327', 'https://in.linkedin.com/in/akanksha-ojha-aa5b5a38']"
Hyundai MOBIS Global IT Commercial Head,"['https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/upasana-tiwari-44250228', 'https://in.linkedin.com/in/gaurav-shankar-a0734621', 'https://in.linkedin.com/in/gaurav-mittal-26a3298']"
Hyundai MOBIS Global IT Services Procurement Head,"['https://in.linkedin.com/in/nanthakumar-m-973096192', 'https://in.linkedin.com/in/ragul-aravind-5082a9bb', 'https://in.linkedin.com/in/siva-krishna-0b83111b4', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/gopi-p-428b9220']"
Hyundai MOBIS Global Indirect Procurement Head,"['https://in.linkedin.com/in/nanthakumar-m-973096192', 'https://in.linkedin.com/in/alankrit-shinghal-04073a190?trk=public_profile_browsemap_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/dilli-ganesh-716a60169', 'https://in.linkedin.com/in/kartik-thapliyal-46b99233', 'https://in.linkedin.com/in/vadivelu-s-12945624']"
Hyundai MOBIS Global Strategic Sourcing Head,"['https://in.linkedin.com/in/siva-krishna-0b83111b4', 'https://in.linkedin.com/in/anand-pandey-0a960a6a', 'https://in.linkedin.com/in/balaji-b-a5215019', 'https://in.linkedin.com/in/raimanvendra05', 'https://in.linkedin.com/in/ashok-kumar-aa1149b0']"
Hyundai MOBIS Global Vendor Management Head,"['https://in.linkedin.com/in/anand-pandey-0a960a6a', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/puvanesh-sm-6a338717a', 'https://in.linkedin.com/in/harish-babu-94bba368', 'https://in.linkedin.com/in/balaji-b-a5215019']"
Hyundai MOBIS Global Workforce Strategy Head,"['https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/devender-singh-4628752b']"
Hyundai MOBIS Global Contigency Hiring Head,"['https://in.linkedin.com/in/ragul-aravind-5082a9bb', 'https://in.linkedin.com/in/vignesh-ramasubramanian-123443171', 'https://in.linkedin.com/in/kartik-thapliyal-46b99233', 'https://in.linkedin.com/in/rajeshkumar-n-69159bb7/es?trk=people-guest_people_search-card']"
Hyundai MOBIS Global Contractual Staffing Head,"['https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147', 'https://in.linkedin.com/in/amith-halageri-6b128016']"
