Vistex Global ESG Head,[]
Hyundai MOBIS Global GCC Head,"['https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/ganesh-krishnamoorthy-a16b4515']"
Hyundai MOBIS Global GIC Head,"['https://in.linkedin.com/in/muskan-shrivastava01', 'https://in.linkedin.com/in/bhaskar-p-86a53113b', 'https://in.linkedin.com/in/ashish-semwal-73b9452a', 'https://in.linkedin.com/in/rahuldeep09', 'https://in.linkedin.com/in/bijoy-mukherjee-5a842554']"
Hyundai MOBIS Global Global Development Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/sjeelanibasha', 'https://in.linkedin.com/in/gaurav-shankar-a0734621']"
Hyundai MOBIS Global Country Head,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/gaurav-shankar-a0734621', 'https://in.linkedin.com/in/skkings']"
Hyundai MOBIS Global Site Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/sarvesh-shukla-bb82ba18']"
Hyundai MOBIS Global Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/sarvesh-shukla-bb82ba18', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/gaurav-mittal-26a3298']"
Hyundai MOBIS Global CTO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/shenthil-rajkumar-673b1b57', 'https://in.linkedin.com/in/s-r-murralidharan', 'https://in.linkedin.com/in/sreedaran-p?trk=public_profile_browsemap_profile-result-card_result-card_full-click']"
Hyundai MOBIS Global CIO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/vinayagamoorthy-perumal-628351178']"
Hyundai MOBIS Global Automation Head,"['https://in.linkedin.com/in/shoebmohammadk', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sanjay-kumar-pmp%C2%AE-85517718']"
Hyundai MOBIS Global MES Head,"['https://in.linkedin.com/in/v-selvakumar-kumar-a5510a65', 'https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/naveen-kumar-m-3109481a1?trk=public_profile_samename_profile_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/ramakrishna-duddukuri-pmp-80460a26']"
