Company,Designation,Location
TaskUs,CTO,India
TaskUs,CIO,India
TaskUs,HR Head,India
TaskUs,Chief Marketing Officer,India
TaskUs,Talent Acquistion Head, India
TaskUs,Offshoring Head,India
TaskUs,IT Commercial Head,India
TaskUs, IT Services Procurement Head, India
TaskUs, Indirect Procurement Head, India
TaskUs, Strategic Sourcing Head, India
TaskUs, Vendor Management Head ,India
TaskUs, Workforce Strategy Head, India
TaskUs, Contigency Hiring Head, India
TaskUs, Contractual Staffing Head ,India
TaskUs, Staff Augmentation Head,India
TaskUs, Technical T&M Hiring Head, India
TaskUs, Shared Services Head, India
